total_bill,tip,sex,smoker,day,time,size,date
16.99,1.01,Female,No,sun,Dinner,2,2021-03-01
10.34,1.66,Male,No,sun,Dinner,3,2021-03-21
21.01,3.5,Male,No,sun,Dinner,3,2021-03-23
23.68,3.31,Male,No,sun,Dinner,2,2021-03-05
24.59,3.61,Female,No,sun,Dinner,4,2021-03-15
,,Male,,sun,Dinner,4,2021-03-18
,,Male,No,sun,Dinner,2,2021-03-02
26.88,3.12,Male,No,sun,Dinner,4,2021-03-15
15.04,1.96,Male,No,sun,Dinner,2,2021-03-19
14.78,3.23,Male,No,sun,Dinner,2,2021-03-15
,,Male,,sun,Dinner,2,2021-03-07
35.26,5.0,Female,No,sun,Dinner,4,2021-03-01
,,Male,No,sun,Dinner,2,2021-03-04
18.43,3.0,Male,No,sun,Dinner,4,2021-03-05
,,Female,No,sun,Dinner,2,2021-03-16
21.58,3.92,Male,No,sun,Dinner,2,2021-03-05
10.33,1.67,Female,No,sun,Dinner,3,2021-03-02
,,Male,No,sun,Dinner,3,2021-03-19
16.97,3.5,Female,No,sun,Dinner,3,2021-03-01
20.65,3.35,Male,No,Sat,Dinner,3,2021-03-11
17.92,4.08,Male,No,Sat,Dinner,2,2021-03-23
20.29,2.75,Female,No,Sat,Dinner,2,2021-03-22
,,Female,No,Sat,Dinner,2,2021-03-18
,,Male,,Sat,Dinner,4,2021-03-17
19.82,3.18,Male,No,Sat,Dinner,2,2021-03-12
17.81,2.34,Male,No,Sat,Dinner,4,2021-03-17
13.37,2.0,Male,No,Sat,Dinner,2,2021-03-21
12.69,2.0,Male,No,Sat,Dinner,2,2021-03-02
21.7,4.3,Male,No,Sat,Dinner,2,2021-03-08
19.65,3.0,Female,No,Sat,Dinner,2,2021-03-21
9.55,1.45,Male,,Sat,Dinner,2,2021-03-21
18.35,2.5,Male,No,Sat,Dinner,4,2021-03-07
15.06,3.0,Female,No,Sat,Dinner,2,2021-03-08
20.69,2.45,Female,No,Sat,Dinner,4,2021-03-08
,,Male,,Sat,Dinner,2,2021-03-20
,,Male,No,Sat,Dinner,3,2021-03-04
16.31,2.0,Male,No,Sat,Dinner,3,2021-03-01
16.93,3.07,Female,No,Sat,Dinner,3,2021-03-14
18.69,2.31,Male,,Sat,Dinner,3,2021-03-14
31.27,5.0,Male,No,Sat,Dinner,3,2021-03-24
16.04,2.24,Male,No,Sat,Dinner,3,2021-03-16
17.46,2.54,Male,,sun,Dinner,2,2021-03-09
13.94,3.06,Male,No,sun,Dinner,2,2021-03-14
9.68,1.32,Male,No,sun,Dinner,2,2021-03-17
,,Male,No,sun,Dinner,4,2021-03-11
18.29,3.0,Male,No,sun,Dinner,2,2021-03-12
