NAME	LIGHT-YEARS FROM EARTH	PLANET MASS	STELLAR MAGNITUDE	DISCOVERY DATE
11 Comae Berenices b	304	19.4 Jupiters	4.72307	2007
11 Ursae Minoris b	409	14.74 Jupiters	5.013	2009
14 Andromedae b	246	4.8 Jupiters	5.23133	2008
18 Delphini b	249	10.3 Jupiters	5.51048	2008
24 Bootis b	313	0.91 Jupiters	5.59	2018
42 Draconis b	296	3.88 Jupiters	4.8262	2008
47 Ursae Majoris b	45	2.53 Jupiters	5.03352	1996
47 Ursae Majoris c	45	0.54 Jupiters	5.03352	2001
47 Ursae Majoris d	45	1.64 Jupiters	5.03352	2009
4 Ursae Majoris b	240	7.1 Jupiters	4.5801	2006
51 Eridani b	97	2 Jupiters	5.21149	2015
51 Pegasi b	50	0.46 Jupiters	5.45309	1995
55 Cancri b	41	0.8306 Jupiters	5.95084	1996
55 Cancri c	41	0.1714 Jupiters	5.95084	2004
55 Cancri d	41	3.878 Jupiters	5.95084	2002
55 Cancri e	41	7.99 Earths	5.95084	2004
55 Cancri f	41	0.141 Jupiters	5.95084	2007
61 Virginis b	28	5.1 Earths	4.6955	2009
61 Virginis c	28	18.2 Earths	4.6955	2009
61 Virginis d	28	22.9 Earths	4.6955	2009
6 Lyncis b	178	2.01 Jupiters	5.87307	2008
70 Virginis b	58	7.49 Jupiters	4.96808	1996
75 Ceti b	271	3 Jupiters	5.3532	2012
7 Canis Majoris b	65	1.85 Jupiters	3.95	2011
7 Canis Majoris c	65	0.87 Jupiters	3.95	2019
81 Ceti b	330	5.3 Jupiters	5.64307	2008
91 Aquarii b	144	3.2 Jupiters	4.23946	2013
Alpha Arietis b	66	1.8 Jupiters	2.00538	2010
Alpha Tauri b	67	6.47 Jupiters	0.872	2015
Beta Cancri b	290	7.8 Jupiters	3.51012	2014
Beta Pictoris b	64	11 Jupiters	3.85	2008
Beta Pictoris c	64	9 Jupiters	3.85	2019
Beta Ursae Minoris b	126	6.1 Jupiters	2.0569	2014
CFBDSIR J145829+101343 b	75	10.5 Jupiters		2011
Epsilon Coronae Borealis b	228	6.7 Jupiters	4.12577	2012
Epsilon Eridani b	10	0.78 Jupiters	3.71548	2000
Epsilon Indi A b	12	3.25 Jupiters	4.69	2019
Epsilon Tauri b	155	7.6 Jupiters	3.523	2006
Gamma 1 Leonis b	130	8.78 Jupiters	1.99509	2009
Gamma Cephei b	46	1.85 Jupiters	3.23006	2003
Gamma Librae b	155	1.02 Jupiters	3.90672	2018
Gamma Librae c	155	4.58 Jupiters	3.90672	2018
GJ 504 b	57	4 Jupiters	5.18799	2013
HD 102365 b	30	16 Earths	4.89	2010
HD 104985 b	328	8.3 Jupiters	5.79389	2003
HD 10647 b	57	0.94 Jupiters	5.52	2006
HD 110014 b	329	11.09 Jupiters	4.64597	2009
HD 113996 b	379	6.3 Jupiters	4.77044	2017
HD 114613 b	66	0.357 Jupiters	4.85	2014
HD 11977 b	222	6.54 Jupiters	4.68	2005
HD 120084 b	336	4.5 Jupiters	5.90686	2013
HD 136352 b	48	4.62 Earths	5.65	2019
HD 136352 c	48	11.29 Earths	5.65	2019
HD 136352 d	48	10.5 Earths	5.65	2019
HD 139357 b	366	9.76 Jupiters	5.97272	2008
HD 142 b	85	1.25 Jupiters	5.7	2001
HD 142 c	85	5.3 Jupiters	5.7	2012
HD 147513 b	42	1.21 Jupiters	5.37	2003
HD 158996 b	925	14 Jupiters	5.72291	2018
HD 160691 b	51	1.676 Jupiters	5.12	2000
HD 160691 c	51	1.814 Jupiters	5.12	2004
HD 160691 d	51	10.5547 Earths	5.12	2004
HD 160691 e	51	0.5219 Jupiters	5.12	2006
HD 16417 b	83	22.1 Earths	5.78	2008
HD 167042 b	162	1.7 Jupiters	5.98796	2007
HD 169830 b	123	2.88 Jupiters	5.9	2000
HD 169830 c	123	4.04 Jupiters	5.9	2003
HD 190360 b	52	1.54 Jupiters	5.738	2003
HD 190360 c	52	19.069 Earths	5.738	2005
HD 192310 b	29	16.9 Earths	5.73	2011
HD 192310 c	29	24 Earths	5.73	2011
HD 19994 b	73	1.37 Jupiters	5.06345	2003
HD 20794 b	20	2.7 Earths	4.26	2011
HD 20794 c	20	2.4 Earths	4.26	2011
HD 20794 d	20	4.8 Earths	4.26	2011
HD 20794 e	20	4.77 Earths	4.26	2017
HD 210702 b	177	1.808 Jupiters	5.93022	2007
HD 219134 b	21	4.74 Earths	5.56911	2015
HD 219134 c	21	4.36 Earths	5.56911	2015
HD 219134 d	21	16.17 Earths	5.56911	2015
HD 219134 f	21	7.3 Earths	5.56911	2015
HD 219134 g	21	10.80622 Earths	5.56911	2015
HD 219134 h	21	0.34 Jupiters	5.56911	2015
HD 221420 b	102	9.7 Jupiters	5.82	2019
HD 26965 b	16	8.47 Earths	4.42018	2018
HD 27442 b	60	1.56 Jupiters	4.44	2000
HD 2952 b	359	1.37 Jupiters	5.9258	2013
HD 30562 b	85	1.22 Jupiters	5.77466	2009
HD 33564 b	68	9.1 Jupiters	5.10111	2005
HD 3651 b	36	0.228 Jupiters	5.88437	2003
HD 38529 b	138	0.797 Jupiters	5.92848	2000
HD 38529 c	138	12.99 Jupiters	5.92848	2000
HD 39091 b	60	12.9 Jupiters	5.65	2001
HD 4732 b	179	2.37 Jupiters	5.9	2012
HD 4732 c	179	2.37 Jupiters	5.9	2012
HD 47536 b	400	7.32 Jupiters	5.25	2002
