College,Course Prefix,Department,Total Students,gpa_total,Average GPA,semester
Architecture,ARC,Architecture,32089.0,107896.29,3.3624,All
Architecture,ARI,Architectural Interior Design,1969.0,6632.01,3.3682,All
Architecture,CRP,Community And Regional Planning,5268.0,18606.73,3.532,All
Architecture,LAR,Landscape Architecture,1888.0,6478.76,3.4315,All
Business,ACC,Accounting,109014.0,335918.57,3.0814,All
Business,B A,Business Administration,79932.0,278299.98,3.4817,All
Business,BAX,Business Analytics,15.0,52.34,3.4893,All
Business,BGS,"Business, Government, And Society",8148.0,28889.54,3.5456,All
Business,D S,Decision Science,529.0,1711.9,3.2361,All
Business,FIN,Finance,84840.0,260830.85,3.0744,All
Business,I B,International Business,7926.0,24143.0,3.0461,All
Business,LEB,Legal Environment Of Business,40014.0,125001.5,3.1239,All
Business,MAN,Management,71744.0,237956.08,3.3167,All
Business,MIS,Management Information Systems,54069.0,172755.57,3.1951,All
Business,MKT,Marketing,60065.0,192949.89,3.2124,All
Business,O M,Operations Management,13600.0,43685.3,3.2122,All
Business,R E,Real Estate,3539.0,11901.8,3.363,All
Business,R M,Risk Management,3330.0,11313.16,3.3973,All
Business,STA,Statistics,27815.0,85397.67,3.0702,All
Communication,ADV,Advertising,87653.0,287157.79,3.2761,All
Communication,CLD,Communication And Leadership,1334.0,4587.22,3.4387,All
Communication,CMS,Communication Studies,61687.0,184357.2,2.9886,All
Communication,COM,Communication,5808.0,20463.13,3.5233,All
Communication,J,Journalism,25813.0,87815.46,3.402,All
Communication,P R,Public Relations,17614.0,59477.38,3.3767,All
Communication,RTF,Radio-Television-Film,57170.0,187741.02,3.2839,All
Communication,SLH,"Speech, Language, And Hearing Sciences",3340.0,11991.4,3.5902,All
Education,ALD,Applied Learning And Development,19285.0,68140.31,3.5333,All
Education,EDC,Curriculum And Instruction,17508.0,64544.51,3.6866,All
Education,EDP,Educational Psychology,49410.0,161391.35,3.2664,All
Education,ELP,Educational Leadership And Policy,1318.0,4759.85,3.6114,All
Education,HED,Health Education,11241.0,37919.97,3.3734,All
Education,KIN,Kinesiology,46727.0,147364.11,3.1537,All
Education,PED,Physical Education,44675.0,147494.11,3.3015,All
Education,SCI,Science,145.0,526.6800000000001,3.6323,All
Education,SED,Special Education,6055.0,22730.58,3.754,All
Education,STM,"Science, Technology, Engineering, And Mathematics Education",209.0,740.4,3.5426,All
Engineering,ARE,Architectural Engineering,8195.0,28449.85,3.4716,All
Engineering,ASE,Aerospace Engineering,28913.0,86379.52,2.9876,All
Engineering,BME,Biomedical Engineering,22656.0,75314.82,3.3243,All
Engineering,C E,Civil Engineering,38027.0,121109.3,3.1848,All
Engineering,CHE,Chemical Engineering,32691.0,102247.31,3.1277,All
Engineering,COE,Computational Engineering,2689.0,8403.75,3.1252,All
Engineering,E E,Electrical Engineering,82769.0,245128.12,2.9616,All
Engineering,E M,Engineering Mechanics,19889.0,50828.11,2.5556,All
Engineering,E S,Engineering Studies,958.0,2884.12,3.0106,All
Engineering,EVE,Environmental Engineering,690.0,2331.83,3.3795,All
Engineering,G E,General Engineering,2754.0,9183.33,3.3345,All
Engineering,M E,Mechanical Engineering,78400.0,252283.33,3.2179,All
Engineering,ORI,Operations Research And Industrial Engineering,2507.0,8234.42,3.2846,All
Engineering,PGE,Petroleum And Geosystems Engineering,24941.0,79006.3,3.1677,All
Fine Arts,AED,Art Education,130.0,498.71999999999997,3.8363,All
Fine Arts,AET,Arts And Entertainment Technologies,10827.0,35502.86,3.2791,All
Fine Arts,ARH,Art History,28924.0,93841.36,3.2444,All
Fine Arts,ART,Studio Art,13400.0,47114.17,3.516,All
Fine Arts,DES,Design,5118.0,18313.34,3.5782,All
Fine Arts,ENS,Ensemble,10840.0,41469.48,3.8256,All
Fine Arts,F A,Fine Arts,1966.0,6825.67,3.4719,All
Fine Arts,ITD,Integrated Design,2051.0,7060.59,3.4425,All
Fine Arts,MBU,Music Business,188.0,636.42,3.3852,All
Fine Arts,MRT,Music Recording Technology,42.0,136.67,3.254,All
Fine Arts,MUS,Music,43994.0,149634.06,3.4012,All
Fine Arts,T D,Theatre And Dance,36428.0,126915.45,3.484,All
Fine Arts,VAS,Visual Art Studies,558.0,1913.29,3.4288,All
Geoscience,EVS,Environmental Science,1212.0,4195.43,3.4616,All
Geoscience,GEO,Geological Sciences,32848.0,94736.32,2.8841,All
Information,I,Informatics,1045.0,3432.54,3.2847,All
Information,IMS,Identity Management And Security,195.0,684.09,3.5082,All
Information,INF,Information Studies,21163.0,68483.57,3.236,All
Information,ISP,Information Security And Privacy,198.0,727.09,3.6722,All
LBJ Public Affairs,P A,Public Affairs,20918.0,72525.75,3.4671,All
Liberal Arts,AAS,Asian American Studies,1744.0,5716.94,3.2781,All
Liberal Arts,AFR,African And African Diaspora Studies,12458.0,38582.64,3.097,All
Liberal Arts,AFS,Air Force Science,546.0,1799.77,3.2963,All
Liberal Arts,AHC,Ancient History And Classical Civilization,548.0,1486.13,2.7119,All
Liberal Arts,AMS,American Studies,10582.0,31711.09,2.9967,All
Liberal Arts,ANS,Asian Studies,9083.0,28488.28,3.1364,All
Liberal Arts,ANT,Anthropology,42244.0,126284.22,2.9894,All
Liberal Arts,ARA,Arabic,4088.0,13589.31,3.3242,All
Liberal Arts,ASL,American Sign Language,4993.0,16686.76,3.342,All
Liberal Arts,C C,Classical Civilization,40982.0,119888.63,2.9254,All
Liberal Arts,C L,Comparative Literature,392.0,1253.94,3.1988,All
Liberal Arts,CGS,Cognitive Science,184.0,537.72,2.9224,All
Liberal Arts,CHI,Chinese,6492.0,21227.64,3.2698,All
Liberal Arts,CRW,Creative Writing,2617.0,9007.35,3.4419,All
Liberal Arts,CTI,Core Texts And Ideas,3043.0,9751.63,3.2046,All
Liberal Arts,CZ,Czech,66.0,228.39000000000001,3.4605,All
Liberal Arts,DAN,Danish,199.0,594.81,2.989,All
Liberal Arts,DCH,Dutch,202.0,481.11,2.3817,All
Liberal Arts,E,English,91308.0,281260.32,3.0803,All
Liberal Arts,ECO,Economics,86482.0,229383.54,2.6524,All
Liberal Arts,EUS,European Studies,3107.0,9736.22,3.1336,All
Liberal Arts,F C,French Civilization,396.0,1363.83,3.444,All
Liberal Arts,FR,French,20409.0,61815.53,3.0288,All
Liberal Arts,GER,German,8191.0,26088.86,3.1851,All
Liberal Arts,GK,Greek,1173.0,3467.98,2.9565,All
Liberal Arts,GOV,Government,144129.0,409049.34,2.8381,All
Liberal Arts,GSD,"German, Scandinavian, And Dutch Studies",344.0,1143.15,3.3231,All
Liberal Arts,H S,Health And Society,3996.0,12789.44,3.2006,All
Liberal Arts,HDO,Human Dimensions Of Organizations,2886.0,10298.85,3.5686,All
Liberal Arts,HEB,Hebrew,740.0,2422.88,3.2742,All
Liberal Arts,HIN,Hindi,1391.0,4852.14,3.4882,All
Liberal Arts,HIS,History,106931.0,325026.04,3.0396,All
Liberal Arts,HMN,Humanities,196.0,758.36,3.8692,All
Liberal Arts,ILA,Iberian And Latin American Languages And Cultures,373.0,1362.61,3.6531,All
Liberal Arts,IRG,International Relations And Global Studies,7585.0,23911.1,3.1524,All
Liberal Arts,ISL,Islamic Studies,739.0,2159.86,2.9227,All
Liberal Arts,ITC,Italian Civilization,333.0,1079.61,3.2421,All
Liberal Arts,ITL,Italian,5620.0,16121.17,2.8685,All
Liberal Arts,J S,Jewish Studies,386.0,1281.5,3.3199,All
Liberal Arts,JPN,Japanese,8424.0,26758.95,3.1765,All
Liberal Arts,KOR,Korean,3290.0,12158.94,3.6957,All
Liberal Arts,L A,Liberal Arts,6416.0,8984.12,1.4003,All
Liberal Arts,LAH,Liberal Arts Honors,4695.0,17180.37,3.6593,All
Liberal Arts,LAS,Latin American Studies,3417.0,10412.45,3.0472,All
Liberal Arts,LAT,Latin,3785.0,10594.63,2.7991,All
Liberal Arts,LIN,Linguistics,12562.0,36277.39,2.8879,All
Liberal Arts,M S,Military Science,1252.0,4494.84,3.5901,All
Liberal Arts,MAL,Malayalam,100.0,383.34999999999997,3.8335,All
Liberal Arts,MAS,Mexican American Studies,5689.0,18190.95,3.1976,All
Liberal Arts,MEL,Middle Eastern Languages And Cultures,412.0,1360.01,3.301,All
Liberal Arts,MES,Middle Eastern Studies,2557.0,8337.06,3.2605,All
Liberal Arts,N S,Naval Science,554.0,2031.9,3.6677,All
Liberal Arts,NOR,Norwegian,467.0,1546.54,3.3116,All
Liberal Arts,PHL,Philosophy,41146.0,122783.07,2.9841,All
Liberal Arts,POL,Polish,63.0,214.01,3.397,All
Liberal Arts,POR,Portuguese,2222.0,7226.15,3.2521,All
Liberal Arts,PRC,Portuguese Civilization,321.0,1108.16,3.4522,All
Liberal Arts,PRS,Persian,412.0,1447.53,3.5134,All
Liberal Arts,PSY,Psychology,94690.0,276717.08,2.9223,All
Liberal Arts,R S,Religious Studies,7373.0,24293.98,3.295,All
Liberal Arts,REE,"Russian, East European, And Eurasian Studies",2581.0,8320.84,3.2239,All
Liberal Arts,RHE,Rhetoric And Writing,30785.0,99187.26,3.2219,All
Liberal Arts,RIM,"Race, Indigeneity, And Migration",96.0,329.08,3.4279,All
Liberal Arts,RUS,Russian,2399.0,7463.86,3.1112,All
Liberal Arts,S C,Serbian/Croatian,28.0,105.67,3.7739,All
Liberal Arts,S S,Social Science,1403.0,4853.44,3.4593,All
Liberal Arts,SAN,Sanskrit,129.0,447.37,3.468,All
Liberal Arts,SOC,Sociology,64425.0,193719.79,3.0069,All
Liberal Arts,SPC,Spanish Civilization,124.0,416.03,3.3551,All
Liberal Arts,SPN,Spanish,43879.0,135337.02,3.0843,All
Liberal Arts,SUS,Sustainability Studies,459.0,1635.13,3.5624,All
Liberal Arts,SWE,Swedish,349.0,1067.72,3.0594,All
Liberal Arts,T C,Tutorial Course,4252.0,15402.51,3.6224,All
Liberal Arts,TAM,Tamil,100.0,352.35,3.5235,All
Liberal Arts,TEL,Telugu,85.0,331.02,3.8944,All
Liberal Arts,TUR,Turkish,68.0,216.73,3.1872,All
