uid,title,year,runtime_mins,ave_rating,num_votes
tt0009771,The Merry Widow,1920.0,70.0,4.7,14.0
tt0016029,The Little Colonel,1935.0,81.0,7.1,1460.0
tt0016906,Frivolinas,2014.0,80.0,5.6,15.0
tt0018037,The Jazz Singer,1927.0,88.0,6.5,9080.0
tt0018893,The Five O'Clock Girl,1928.0,,8.5,43.0
tt0019388,The Singing Fool,1927.0,105.0,6.2,209.0
tt0019644,Applause,1929.0,80.0,7.0,1284.0
tt0019679,Battle of Paris,1929.0,80.0,6.4,24.0
tt0019703,Blaze o' Glory,1929.0,78.0,,
tt0019726,Broadway Babies,1929.0,86.0,6.4,151.0
tt0019729,The Broadway Melody,1929.0,100.0,5.7,6501.0
tt0019730,Broadway Scandals,1929.0,73.0,6.0,7.0
tt0019774,Close Harmony,1929.0,70.0,7.0,21.0
tt0019776,The Cock-Eyed World,1929.0,118.0,6.0,52.0
tt0019777,The Cocoanuts,1929.0,96.0,7.0,7039.0
tt0019798,The Dance of Life,1929.0,115.0,6.5,266.0
tt0019813,The Desert Song,1929.0,123.0,6.8,81.0
tt0019870,Fashions in Love,1929.0,73.0,,
tt0019892,Footlights and Fools,1929.0,78.0,7.4,8.0
tt0019896,Fox Movietone Follies of 1929,1929.0,80.0,7.4,9.0
tt0019927,The Girl from Woolworth's,1929.0,60.0,7.8,6.0
tt0019933,Glorifying the American Girl,1929.0,95.0,5.8,632.0
tt0019936,Gold Diggers of Broadway,1929.0,101.0,6.7,143.0
tt0019946,The Great Gabbo,1929.0,92.0,6.1,708.0
tt0019959,Hallelujah,1929.0,109.0,6.8,1559.0
tt0019971,Hearts in Dixie,1929.0,71.0,6.7,14.0
tt0020001,Hot for Paris,1929.0,,6.5,6.0
tt0020005,Howdy Broadway,1929.0,70.0,4.3,20.0
tt0020026,Innocents of Paris,1929.0,78.0,7.3,27.0
tt0020034,It's a Great Life,1929.0,93.0,6.1,269.0
tt0020050,Just for a Song,1930.0,94.0,,
tt0020112,The Love Parade,1929.0,107.0,7.1,1975.0
tt0020121,Lucky Boy,1929.0,77.0,7.5,72.0
tt0020123,Lucky in Love,1929.0,76.0,,
tt0020143,Marianne,1929.0,111.0,6.2,1149.0
tt0020147,Married in Hollywood,1929.0,110.0,,
tt0020159,Melody of the Heart,1929.0,88.0,7.6,14.0
tt0020160,Melody Lane,1929.0,76.0,,
tt0020187,Mother's Boy,1929.0,82.0,5.6,7.0
tt0020221,Nix on Dames,1929.0,67.0,8.4,7.0
tt0020238,On with the Show!,1929.0,104.0,5.8,263.0
tt0020257,Paris,1929.0,97.0,,
tt0020278,Pointed Heels,1929.0,62.0,6.6,98.0
tt0020299,Queen of the Night Clubs,1929.0,60.0,8.4,5.0
tt0020308,The Rainbow Man,1929.0,96.0,6.5,6.0
tt0020336,Chasing Rainbows,1930.0,96.0,6.0,205.0
tt0020358,Sally,1929.0,103.0,6.1,307.0
tt0020366,Say It with Songs,1929.0,95.0,5.0,107.0
tt0020402,Show Boat,1929.0,147.0,6.1,250.0
tt0020403,Show of Shows,1929.0,128.0,5.8,369.0
tt0020433,A Song of Kentucky,1929.0,79.0,,
tt0020434,Song of Love,1929.0,82.0,6.1,10.0
tt0020458,Street Girl,1929.0,87.0,6.1,337.0
tt0020466,Sunnyside Up,1929.0,121.0,6.5,363.0
tt0020473,Säg det i toner,1929.0,86.0,,
tt0020480,Tanned Legs,1929.0,71.0,5.6,140.0
tt0020504,"The Time, the Place and the Girl",1929.0,70.0,5.8,5.0
tt0020542,The Vagabond Lover,1929.0,65.0,5.3,205.0
tt0020586,Why Bring That Up?,1929.0,82.0,5.9,9.0
tt0020640,Animal Crackers,1930.0,97.0,7.5,13570.0
tt0020670,Be Yourself!,1930.0,65.0,5.8,163.0
tt0020683,Big Boy,1930.0,68.0,6.2,91.0
tt0020689,The Big Party,1930.0,70.0,6.2,10.0
tt0020712,Bride of the Regiment,1930.0,79.0,5.6,18.0
tt0020713,Bright Lights,1930.0,69.0,5.6,242.0
tt0020719,Ein Burschenlied aus Heidelberg,1930.0,79.0,7.1,20.0
tt0020724,Call of the Flesh,1930.0,100.0,5.5,137.0
tt0020727,Murder for Sale,1930.0,102.0,6.6,61.0
tt0020741,Captain of the Guard,1930.0,83.0,7.2,21.0
tt0020759,Cheer Up and Smile,1930.0,76.0,6.1,52.0
tt0020763,Children of Pleasure,1930.0,70.0,5.7,119.0
tt0020769,Farewell to Love,1931.0,96.0,6.4,14.0
tt0020772,The Co-Optimists,1929.0,83.0,,
tt0020779,Comets,1930.0,68.0,,
tt0020799,The Cuckoos,1930.0,97.0,6.0,216.0
tt0020835,Dolly macht Karriere,1930.0,87.0,6.2,5.0
tt0020842,Three from the Filling Station,1930.0,99.0,6.6,743.0
tt0020852,Elstree Calling,1930.0,86.0,5.3,346.0
tt0020891,The Florodora Girl,1930.0,79.0,6.1,1250.0
tt0020894,Follow Thru,1930.0,92.0,6.5,202.0
tt0020895,Follow the Leader,1930.0,76.0,5.7,86.0
tt0020902,Free and Easy,1930.0,92.0,5.6,823.0
tt0020916,Georgia Rose,1930.0,,,
tt0020924,Going Wild,1930.0,68.0,6.0,158.0
tt0020925,Her Golden Calf,1930.0,69.0,6.8,12.0
tt0020929,Good News,1930.0,78.0,5.5,323.0
tt0020937,Latin Love,1930.0,85.0,4.7,7.0
tt0020944,The Flame of Love,1930.0,74.0,6.5,32.0
tt0020945,Half Shot at Sunrise,1930.0,78.0,6.1,309.0
tt0020949,Happy Days,1929.0,80.0,5.4,122.0
tt0020956,Heads Up,1930.0,76.0,5.8,36.0
tt0020969,The Darling of Vienna,1930.0,92.0,7.2,30.0
tt0020977,Hit the Deck,1929.0,103.0,7.3,12.0
tt0020986,Honey,1930.0,75.0,5.9,51.0
tt0020993,Never Trust a Woman,1930.0,90.0,,
tt0020997,In Gay Madrid,1930.0,82.0,5.3,63.0
tt0021016,Just Imagine,1930.0,113.0,5.4,649.0
tt0021029,Kismet,1930.0,90.0,5.8,55.0
tt0021045,A Lady's Morals,1930.0,87.0,5.4,80.0
tt0021057,Leathernecking,1930.0,79.0,6.6,25.0
tt0021061,Let's Go Native,1930.0,77.0,5.5,116.0
tt0021062,Let's Go Places,1930.0,70.0,,
tt0021066,Liebeswalzer,1930.0,90.0,6.2,6.0
tt0021068,The Song Is Ended,1930.0,102.0,7.4,44.0
tt0021069,The Life of the Party,1930.0,79.0,5.6,130.0
tt0021075,The Inn at the Rhine,1930.0,98.0,,
