@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
N,408,9825,12.823529411764707,1.1666666666666667,2.019607843137255,3.1862745098039214,2.122549019607843,0.6495098039215687,0.42892156862745096,1.7156862745098038,1214,4074,2031,1495,1125,9,G,1982,1990,1,14,0
N,51,0,11.509803921568627,0.0,0.0,0.0,3.0980392156862746,0.0,0.0,0.0,114,620,222,181,143,1,G,1949,1949,1,55,0
N,265,0,6.460377358490566,0.0,0.0,0.27169811320754716,1.1735849056603773,0.0,0.0,0.0,392,2190,655,620,402,5,G,1946,1950,1,54,0
N,133,2587,7.458646616541353,0.41353383458646614,1.4887218045112782,1.9022556390977443,2.18796992481203,0.924812030075188,0.10526315789473684,1.556390977443609,311,824,378,130,102,2,G,2003,2004,0,0,0
N,8,28,0.875,0.0,0.25,0.25,0.0,0.0,0.0,0.125,4,6,2,5,3,1,G,2004,2004,0,0,0
N,343,8569,9.527696793002915,2.17201166180758,5.209912536443149,7.381924198250728,0.760932944606414,0.4227405247813411,1.163265306122449,1.7405247813411078,968,2356,1136,1393,996,5,C,2000,2004,0,0,0
N,472,15767,19.201271186440678,0.0,0.0,8.940677966101696,1.7266949152542372,0.0,0.0,0.0,1426,7572,3193,3434,2677,7,F,1953,1959,1,45,1
A,50,665,5.24,0.0,0.0,2.36,1.52,0.0,0.0,1.16,98,282,112,59,36,2,F,1972,1973,1,31,0
N,9,0,2.4444444444444446,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,7,31,8,7,6,1,G,1949,1949,1,55,0
N,19,101,2.526315789473684,0.05263157894736842,0.0,0.5263157894736842,0.42105263157894735,0.0,0.0,0.0,18,60,24,0,0,5,G,1969,1973,1,31,0
A,584,19546,19.767123287671232,0.0,0.6027397260273972,3.6164383561643834,3.631849315068493,0.1934931506849315,0.06335616438356165,1.7397260273972603,1604,9398,4303,3662,2927,9,G,1967,1975,1,29,0
N,32,440,4.40625,0.0,0.0,1.59375,1.875,0.0,0.0,0.0,55,162,59,38,23,1,G,1961,1961,1,43,0
N,707,20959,17.173974540311175,1.3253182461103252,2.4978783592644977,3.823196605374823,2.9561527581329563,0.958981612446959,0.19377652050919378,2.4002828854314004,1634,9380,4434,3660,3106,10,F,1981,1990,1,14,0
N,330,10262,12.315151515151515,0.8818181818181818,1.5333333333333334,2.415151515151515,4.472727272727273,1.8363636363636364,0.24848484848484848,1.2969696969696969,931,3295,1606,865,695,10,G,1972,1981,1,23,0
N,1074,38113,24.83054003724395,2.7467411545623834,3.9283054003724396,6.6750465549348235,2.492551210428305,1.2830540037243947,0.5977653631284916,2.485102420856611,2061,21589,9963,7438,6031,17,F,1982,1998,1,6,1
A,107,1264,6.140186915887851,0.0,1.0373831775700935,3.7383177570093458,0.6074766355140186,0.056074766355140186,0.04672897196261682,1.3644859813084111,210,631,262,218,131,4,F,1972,1975,1,29,0
N,32,277,2.03125,0.0,1.59375,1.59375,0.1875,0.21875,0.15625,0.0,45,58,31,8,3,1,F,1976,1976,1,28,0
N,60,809,6.216666666666667,0.26666666666666666,0.95,1.2166666666666666,0.7666666666666667,0.45,0.2,0.9833333333333333,103,384,130,102,83,2,G,1997,1998,1,6,0
N,31,74,1.1612903225806452,0.25806451612903225,0.4838709677419355,0.7419354838709677,0.16129032258064516,0.03225806451612903,0.0,0.22580645161290322,15,42,14,10,8,1,F,1988,1988,1,16,0
N,389,11406,11.54241645244216,0.9074550128534704,2.809768637532134,3.717223650385604,1.8714652956298201,1.0359897172236503,0.2442159383033419,1.167095115681234,995,3949,1641,881,690,5,F,2000,2004,0,0,0
N,99,1954,4.828282828282828,0.0,0.0,2.0707070707070705,1.8383838383838385,0.0,0.0,0.0,296,462,160,253,158,2,G,1952,1953,1,51,0
N,8,122,5.0,1.125,2.0,3.125,0.25,0.375,0.25,1.0,14,30,13,22,14,1,F,1995,1995,1,9,0
A,426,13235,10.561032863849766,0.0,0.0,10.025821596244132,2.4107981220657275,0.0,0.0,1.5751173708920188,1430,3546,1885,1176,723,6,F,1967,1972,1,32,0
N,31,149,1.4193548387096775,0.41935483870967744,0.6774193548387096,1.096774193548387,0.06451612903225806,0.12903225806451613,0.3225806451612903,0.2903225806451613,31,37,17,20,10,3,C,1989,1991,1,13,0
N,1100,35954,14.122727272727273,1.3263636363636364,2.536363636363636,3.862727272727273,4.999090909090909,1.3427272727272728,0.6136363636363636,2.2254545454545456,3087,13100,5832,4754,3791,14,G,1976,1989,1,15,0
N,133,1398,3.511278195488722,0.43609022556390975,0.8345864661654135,1.2706766917293233,0.6691729323308271,0.42105263157894735,0.07518796992481203,0.7293233082706767,157,370,196,126,73,3,F,1994,1996,1,8,0
N,14,0,5.571428571428571,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,42,113,32,28,14,1,G,1947,1947,1,57,0
N,33,373,4.03030303030303,0.0,0.0,2.090909090909091,0.8787878787878788,0.0,0.0,0.0,32,143,55,42,23,1,F,1959,1959,1,45,0
N,695,15077,8.546762589928058,0.44028776978417267,0.9079136690647482,1.348201438848921,2.545323741007194,0.7956834532374101,0.03741007194244604,1.1726618705035972,1368,5130,2363,786,651,10,G,1982,1991,1,13,0
N,889,25424,7.714285714285714,0.6006749156355455,2.0067491563554554,2.607424071991001,7.565804274465692,1.5399325084364455,0.043869516310461196,1.611923509561305,1582,6210,2845,1284,1062,14,G,1987,2000,1,4,0
N,55,1472,7.109090909090909,0.6727272727272727,2.5454545454545454,3.2181818181818183,6.472727272727273,1.0909090909090908,0.05454545454545454,2.5272727272727273,123,398,153,98,80,1,G,2003,2003,1,1,0
A,11,90,1.9090909090909092,0.0,0.0,2.6363636363636362,0.09090909090909091,0.0,0.0,0.5454545454545454,16,28,9,12,3,1,C,1967,1967,1,37,0
A,89,1158,3.7191011235955056,0.0,1.3146067415730338,1.3146067415730338,2.134831460674157,0.651685393258427,0.10112359550561797,1.696629213483146,196,354,132,98,66,2,G,1974,1975,1,29,0
N,381,6936,7.564304461942257,0.5223097112860893,1.20997375328084,1.7322834645669292,1.8766404199475066,0.5380577427821522,0.1942257217847769,1.3228346456692914,647,2662,1050,574,382,8,G,1993,2000,1,4,0
N,170,2523,4.511764705882353,0.36470588235294116,1.1823529411764706,1.5470588235294118,3.1470588235294117,0.8058823529411765,0.01764705882352941,1.2470588235294118,205,727,307,182,139,6,G,1986,1991,1,13,0
N,699,18443,14.396280400572246,0.0,0.0,8.49785407725322,2.167381974248927,0.0,0.0,0.0,2812,8812,3547,3874,2969,10,F,1949,1958,1,46,1
N,162,3251,8.067901234567902,1.0740740740740742,2.4814814814814814,3.5555555555555554,1.376543209876543,1.0,0.25308641975308643,1.0925925925925926,410,946,397,474,411,5,F,2000,2004,0,0,0
N,41,181,2.658536585365854,0.0,0.0,1.2682926829268293,0.12195121951219512,0.0,0.0,0.0,33,94,41,38,27,4,F,1967,1970,1,34,0
N,1329,45071,20.62377727614748,5.064710308502634,7.133935289691498,12.198645598194132,1.3513920240782544,0.8194130925507901,1.3032355154251316,2.8623024830699775,3076,19225,9435,11090,8531,21,C,1974,1994,1,10,1
N,25,315,5.44,1.56,2.32,3.88,0.64,0.4,0.52,0.96,38,136,62,36,12,3,F,1985,1987,1,17,0
N,83,1153,5.590361445783133,0.3493975903614458,0.6867469879518072,1.036144578313253,2.0240963855421685,0.4457831325301205,0.13253012048192772,0.26506024096385544,158,483,196,105,72,7,G,1971,1977,1,27,0
N,54,538,5.2407407407407405,0.25925925925925924,0.2962962962962963,0.5555555555555556,0.8703703703703703,0.37037037037037035,0.05555555555555555,0.0,45,321,131,21,21,1,G,1974,1974,1,30,0
N,312,10990,17.477564102564102,1.294871794871795,4.044871794871795,5.339743589743589,3.173076923076923,1.2403846153846154,0.40705128205128205,2.2564102564102564,734,4903,2113,1167,820,4,G,2001,2004,0,0,0
N,228,699,7.030701754385965,0.0,0.0,2.4078947368421053,1.4385964912280702,0.0,0.0,0.0,320,1772,673,406,257,4,F,1948,1951,1,53,0
A,214,5924,15.13551401869159,0.0,8.654205607476635,8.654205607476635,1.1542056074766356,0.9345794392523364,1.7757009345794392,2.182242990654206,649,2726,1345,729,548,7,C,1973,1979,1,25,0
N,180,2376,4.705555555555556,1.2444444444444445,1.6666666666666667,2.911111111111111,1.0666666666666667,1.011111111111111,0.7944444444444444,1.0833333333333333,376,666,320,299,199,3,F,1985,1987,1,17,0
