@relation New-No-League-F-Hall-of-fame-train.arff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute league {N,A}
@attribute games numeric
@attribute minutes numeric
@attribute pts numeric
@attribute offReb numeric
@attribute defReb numeric
@attribute reb numeric
@attribute asts numeric
@attribute stl numeric
@attribute blk numeric
@attribute turnover numeric
@attribute pf numeric
@attribute fga numeric
@attribute fgm numeric
@attribute fta numeric
@attribute ftm numeric
@attribute totalSeasons numeric
@attribute Position {G,F,C}
@attribute firstSeason numeric
@attribute lastSeason numeric
@attribute careerEnded numeric
@attribute yrsRetired2004 numeric
@attribute class {0,1}

@data
N,51,0,11.509804,0,0,0,3.098039,0,0,0,114,620,222,181,143,1,G,1949,1949,1,55,0
N,8,28,0.875,0,0.25,0.25,0,0,0,0.125,4,6,2,5,3,1,G,2004,2004,0,0,0
N,9,0,2.444444,0,0,0,0.888889,0,0,0,7,31,8,7,6,1,G,1949,1949,1,55,0
N,32,440,4.40625,0,0,1.59375,1.875,0,0,0,55,162,59,38,23,1,G,1961,1961,1,43,0
A,107,1264,6.140187,0,1.037383,3.738318,0.607477,0.056075,0.046729,1.364486,210,631,262,218,131,4,F,1972,1975,1,29,0
N,31,74,1.16129,0.258065,0.483871,0.741935,0.16129,0.032258,0,0.225806,15,42,14,10,8,1,F,1988,1988,1,16,0
N,8,122,5,1.125,2,3.125,0.25,0.375,0.25,1,14,30,13,22,14,1,F,1995,1995,1,9,0
N,1100,35954,14.122727,1.326364,2.536364,3.862727,4.999091,1.342727,0.613636,2.225455,3087,13100,5832,4754,3791,14,G,1976,1989,1,15,0
N,33,373,4.030303,0,0,2.090909,0.878788,0,0,0,32,143,55,42,23,1,F,1959,1959,1,45,0
N,55,1472,7.109091,0.672727,2.545455,3.218182,6.472727,1.090909,0.054545,2.527273,123,398,153,98,80,1,G,2003,2003,1,1,0
N,381,6936,7.564304,0.52231,1.209974,1.732283,1.87664,0.538058,0.194226,1.322835,647,2662,1050,574,382,8,G,1993,2000,1,4,0
N,41,181,2.658537,0,0,1.268293,0.121951,0,0,0,33,94,41,38,27,4,F,1967,1970,1,34,0
N,54,538,5.240741,0.259259,0.296296,0.555556,0.87037,0.37037,0.055556,0,45,321,131,21,21,1,G,1974,1974,1,30,0
A,214,5924,15.135514,0,8.654206,8.654206,1.154206,0.934579,1.775701,2.182243,649,2726,1345,729,548,7,C,1973,1979,1,25,0
N,687,26618,19.826783,2.270742,6.409025,8.679767,4.117904,1.393013,0.60262,3.154294,2076,12760,5294,3003,1929,9,F,1996,2004,0,0,0
N,296,3918,2.787162,1.216216,1.733108,2.949324,0.513514,0.266892,0.243243,0.496622,609,692,325,310,174,5,F,2000,2004,0,0,0
N,46,386,2.913043,0.608696,0.695652,1.304348,1.065217,0.304348,0.021739,0.586957,39,121,52,42,30,5,F,1986,1990,1,14,0
N,268,4074,4.914179,0.94403,2.548507,3.492537,0.380597,0.317164,1.279851,1.223881,807,1130,557,329,203,7,C,1998,2004,0,0,0
N,88,835,4.375,0,0,1.590909,0.784091,0,0,0,153,401,146,157,93,2,G,1970,1971,1,33,0
N,210,3110,3.9,0.785714,2.114286,2.9,1.047619,0.380952,0.247619,0.847619,340,786,309,190,152,4,F,2001,2004,0,0,0
N,133,1628,4.293233,0,0,3.887218,0.548872,0,0,0,293,516,237,198,97,4,C,1961,1964,1,40,0
N,480,10369,6.377083,2.304167,3.7,6.004167,0.56875,0.38125,0.310417,1.079167,1176,2545,1202,1081,654,12,F,1989,2000,1,4,0
N,21,224,3.904762,1.142857,1.190476,2.333333,0.428571,0.142857,0.047619,0.666667,30,72,35,26,12,1,F,1999,1999,1,5,0
N,213,3867,7.784038,1.56338,2.366197,3.929577,1.244131,0.41784,0.061033,1.201878,501,1650,679,429,300,7,F,1977,1983,1,21,0
N,10,110,2.7,1.2,1.3,2.5,0.3,0.3,0.4,0.2,19,31,10,12,7,1,F,2004,2004,0,0,0
N,526,19795,22.977186,1.089354,5.435361,6.524715,3.720532,1.76616,0.798479,3.070342,1580,9169,3985,4078,3238,7,G,1998,2004,0,0,0
N,46,0,1.891304,0,0,0,0.782609,0,0,0,51,134,36,38,15,1,G,1949,1949,1,55,0
N,403,8399,8.655087,2.416873,5.183623,7.600496,0.751861,0.439206,0.228288,1.523573,1434,2453,1154,1500,1178,8,F,1997,2004,0,0,0
N,687,14970,6.312955,0.921397,1.787482,2.708879,3.885007,1.57933,0.093159,1.330422,1036,3618,1639,1378,1037,13,G,1982,1994,1,10,0
N,464,9878,9.081897,1.790948,3.834052,5.625,1.760776,0.931034,0.612069,1.894397,1349,3684,1704,1008,785,8,F,1978,1985,1,19,0
A,12,127,4,0,0,1.916667,0.416667,0,0,1.083333,30,39,19,14,10,1,F,1967,1967,1,37,0
N,24,123,3.5,0.416667,0.833333,1.25,0.291667,0.291667,0.166667,0.666667,23,98,37,19,9,1,F,1980,1980,1,24,0
N,9,0,1.666667,0,0,0,0.666667,0,0,0,13,27,6,5,3,1,F,1949,1949,1,55,0
N,272,4568,7.411765,0,0,2.819853,2.003676,0,0,0,658,2153,846,475,324,5,G,1960,1964,1,40,0
N,118,2132,7.050847,0.576271,1.813559,2.389831,0.838983,0.745763,0.101695,0,112,902,359,150,114,2,G,1975,1976,1,28,0
A,25,342,5.08,0,0,2.88,0.8,0,0,1,76,128,54,32,19,5,F,1968,1972,1,32,0
N,291,5188,5.948454,0.226804,1.09622,1.323024,3.512027,0.838488,0.099656,1.202749,393,1553,720,363,272,5,G,1980,1984,1,20,0
A,85,1129,5.294118,0,0,2.470588,1.423529,0,0.011765,1.047059,142,443,182,123,85,5,G,1968,1972,1,32,0
N,14,147,4.857143,0.214286,0.571429,0.785714,0.571429,0.357143,0,0.714286,15,55,16,38,33,5,G,1990,1994,1,10,0
N,102,1395,3.166667,1.254902,2.411765,3.666667,1.098039,0.343137,0.392157,0.696078,196,329,134,96,55,3,C,1983,1985,1,19,0
A,16,154,2.5625,0,0,3.0625,0.5,0,0,0,34,34,17,17,7,1,C,1970,1970,1,34,0
N,17,173,3.176471,0,0,1.823529,0.823529,0,0,0,29,62,15,35,24,6,F,1951,1956,1,48,0
N,8,98,5.625,0,0,1.875,1.125,0,0,0,21,43,18,11,9,4,G,1965,1968,1,36,0
N,34,424,3.882353,0,0,1.647059,1.382353,0,0,0,60,158,54,27,24,1,G,1957,1957,1,47,0
N,182,3392,6.945055,0.263736,1.923077,2.186813,0.978022,0.269231,0.467033,0.78022,281,1231,489,173,129,3,F,2002,2004,0,0,0
A,2,11,1,0,0,1.5,0,0,0,0,3,3,1,0,0,5,C,1969,1973,1,31,0
N,693,12916,7.393939,0.744589,1.874459,2.619048,2.047619,0.681097,0.193362,1.155844,1511,4328,2065,1248,961,9,G,1977,1985,1,19,0
N,44,370,3.613636,0,0,1.863636,0.204545,0,0,0,47,166,65,46,29,1,C,1969,1969,1,35,0
N,561,17436,15.7041,2.636364,5.532977,8.16934,1.424242,0.88057,1.447415,2.130125,1870,7164,3542,2541,1719,10,F,1995,2004,0,0,0
N,131,1644,6.274809,0,0,3.145038,0.549618,0,0,0,198,787,314,261,194,3,F,1962,1964,1,40,0
N,49,581,5.326531,0.244898,0.387755,0.632653,1.204082,0.408163,0.040816,0.959184,57,249,111,54,39,1,G,1987,1987,1,17,0
A,21,415,8.619048,0,5,5,0.952381,0.571429,0.761905,1.619048,58,186,81,30,19,1,C,1974,1974,1,30,0
N,263,4254,5.684411,0.942966,1.285171,2.228137,1.555133,0.387833,0.129278,1.045627,418,1264,585,421,310,5,F,1978,1982,1,22,0
N,627,21964,22.382775,1.1563,3.961722,5.118022,4.446571,1.454545,0.637959,2.838915,1674,10830,4890,4374,3635,9,G,1996,2004,0,0,0
A,46,609,5.086957,0,0,3.913043,0.652174,0,0,1.369565,92,219,98,67,38,1,F,1968,1968,1,36,0
N,840,19804,7.932143,0.809524,2.666667,3.47619,1.290476,1.040476,0.242857,0.994048,1983,5272,2274,1906,1430,12,F,1993,2004,0,0,0
N,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,F,1946,1946,1,58,0
N,81,0,4.135802,0,0,0,1.08642,0,0,0,205,377,119,147,97,2,F,1948,1949,1,55,0
N,987,19780,9.296859,1.16616,2.262411,3.428571,1.100304,0.365755,0.937183,1.202634,3063,7286,3663,2364,1844,16,F,1984,1999,1,5,0
N,24,0,5.166667,0,0,1.958333,0.916667,0,0,0,68,142,40,56,44,1,F,1950,1950,1,54,0
N,59,0,5.694915,0,0,0,1.644068,0,0,0,112,422,116,143,104,2,G,1948,1949,1,55,0
N,221,3628,5.126697,1.515837,3.271493,4.78733,0.656109,0.384615,1.366516,0.837104,388,920,420,465,293,4,F,2001,2004,0,0,0
N,46,493,5.913043,0.456522,0.608696,1.065217,1.043478,0.456522,0,0.717391,49,227,115,49,42,2,G,1983,1984,1,20,0
N,682,16893,8.234604,0.739003,2.256598,8.174487,1.554252,0.272727,0.501466,0,1775,5152,2336,1550,944,9,C,1968,1976,1,28,0
N,665,15863,10.869173,2.258647,3.061654,5.320301,1.288722,0.863158,0.133835,1.969925,2073,5394,2672,2667,1883,10,F,1979,1988,1,16,0
A,2,19,4,0,0,0.5,1,0,0,0,6,7,2,6,4,7,F,1961,1967,1,37,0
N,53,382,2.962264,0.509434,1.169811,1.679245,0.45283,0.339623,0.150943,0.566038,62,146,59,29,22,1,F,1993,1993,1,11,0
N,45,440,2.822222,0,0,1.8,1.111111,0,0,0,79,136,40,69,47,1,G,1951,1951,1,53,0
N,176,2742,5.102273,0,0,2.244318,2.602273,0,0,0,320,910,350,305,198,3,G,1958,1960,1,44,0
N,11,139,4.090909,0.545455,0.454545,1,1.454545,0.545455,0,0.818182,19,44,15,16,13,1,F,1994,1994,1,10,0
N,58,1050,5.517241,0,0,3.068966,1.965517,0,0,0,98,309,107,137,106,1,G,1961,1961,1,43,0
N,7,47,1.714286,0,0,1.428571,0.857143,0,0,0,7,19,5,2,2,1,G,1954,1954,1,50,0
N,31,314,2.483871,0,0,2.483871,0.354839,0,0,0,50,94,28,31,21,7,F,1961,1967,1,37,0
N,173,1775,5.277457,0,0,1.884393,1.734104,0,0,0,514,1076,292,463,329,4,F,1949,1952,1,52,0
N,47,0,4.765957,0,0,0,0.404255,0,0,0,117,285,81,110,62,2,F,1947,1948,1,56,0
A,324,6221,6.552469,0,1.910494,4.484568,0.907407,0.42284,0.083333,1.006173,846,1965,915,358,292,9,F,1967,1975,1,29,0
N,403,5374,3.60794,0.947891,1.952854,2.900744,0.354839,0.451613,0.699752,0.627792,1135,1099,583,438,288,8,F,1995,2002,1,2,0
N,192,3868,8.432292,0,0,4.119792,1.838542,0,0,0,421,1489,564,608,491,4,G,1956,1959,1,45,0
N,252,3986,6.563492,0.81746,1.353175,2.170635,0.611111,0.400794,0.31746,0.920635,492,1393,609,444,366,7,F,1997,2003,1,1,0
N,7,72,1.571429,0,0,1.857143,0.571429,0,0,0,12,21,2,12,7,1,G,1954,1954,1,50,0
N,245,7356,9.653061,0.579592,2.906122,3.485714,7.163265,1.746939,0.355102,2.881633,693,2208,880,529,382,4,G,2001,2004,0,0,0
N,9,76,1.111111,0,0,0.666667,1.111111,0,0,0,12,7,2,6,6,1,G,1972,1972,1,32,0
N,329,5241,4.422492,1.31003,2.802432,4.112462,0.492401,0.294833,1.659574,1.100304,820,1269,608,394,239,11,C,1980,1990,1,14,0
N,586,15633,14.595563,0.37372,1.481229,1.854949,3.547782,0.831058,0.078498,1.643345,1107,7943,3514,1161,1051,11,G,1990,2000,1,4,0
N,11,68,2.454545,0,0,2.363636,0.181818,0,0,0,13,27,10,8,7,1,F,1963,1963,1,41,0
N,132,1372,3.560606,0.340909,0.727273,1.068182,1.045455,0.537879,0.022727,0.727273,147,469,195,122,78,3,G,1985,1987,1,17,0
N,548,14879,6.321168,0.614964,2.133212,2.748175,1.304745,0.877737,0.448905,0.808394,1264,3143,1271,761,429,9,F,1996,2004,0,0,0
A,377,9196,9.578249,0,2.212202,3.228117,3.628647,1.692308,0.167109,2.38992,1234,3152,1419,979,746,8,G,1971,1978,1,26,0
N,379,10795,13.941953,0.968338,1.791557,2.759894,3.358839,1.108179,0.137203,2,1020,4703,2134,1155,986,13,G,1968,1980,1,24,0
N,494,11569,14.467611,0,0,2.619433,3.068826,0,0,0,1267,6082,2775,1881,1597,8,G,1966,1973,1,31,0
N,128,1768,3.367188,0.335938,0.78125,2.25,0.617188,0.453125,0.078125,0,236,480,183,86,65,5,G,1972,1976,1,28,0
N,792,20930,11.57702,0.07702,0.270202,2.434343,2.878788,0.128788,0.016414,0,1370,8174,4001,1381,1167,11,G,1965,1975,1,29,0
A,70,1590,12.171429,0,0,4.7,0.942857,0,0,1.157143,173,686,306,336,238,1,F,1967,1967,1,37,0
