Event.Date,Shape,Location,State,Country,Source
6/18/16,Boomerang/V-Shaped ,South Barrington ,IL ,USA ,NUFORC
6/17/16,Boomerang/V-Shaped ,Kuna ,ID ,USA ,NUFORC
5/30/16,Boomerang/V-Shaped ,Lake Stevens ,WA ,USA ,NUFORC
5/27/16,Boomerang/V-Shaped ,Gerber ,CA ,USA ,NUFORC
5/24/16,Boomerang/V-Shaped ,Camdenton ,MO ,USA ,NUFORC
5/21/16,Boomerang/V-Shaped ,Ft. Lauderdale ,FL ,USA ,NUFORC
4/26/16,Boomerang/V-Shaped ,St. George ,UT ,USA ,NUFORC
4/14/16,Boomerang/V-Shaped ,White Plains ,MD ,USA ,NUFORC
4/2/16,Boomerang/V-Shaped ,Nampa ,ID ,USA ,NUFORC
4/1/16,Boomerang/V-Shaped ,St. Charles ,MO ,USA ,NUFORC
3/15/16,Boomerang/V-Shaped ,"Washington, D.C. ",DC ,USA ,NUFORC
3/15/16,Boomerang/V-Shaped ,Phoenix ,AZ ,USA ,NUFORC
3/12/16,Boomerang/V-Shaped ,St. Paul ,MN ,USA ,NUFORC
3/5/16,Boomerang/V-Shaped ,"Gage (I-10, Exit 67) ",NM ,USA ,NUFORC
3/3/16,Boomerang/V-Shaped ,Pine Bush ,NY ,USA ,NUFORC
2/29/16,Boomerang/V-Shaped ,Edwards ,CA ,USA ,NUFORC
2/28/16,Boomerang/V-Shaped ,Suffern ,NY ,USA ,NUFORC
2/28/16,Boomerang/V-Shaped ,Westminster ,CO ,USA ,NUFORC
2/27/16,Boomerang/V-Shaped ,Faribault ,MN ,USA ,NUFORC
2/27/16,Boomerang/V-Shaped ,Sioux City ,IA ,USA ,NUFORC
2/10/16,Boomerang/V-Shaped ,Watchung ,NJ ,USA ,NUFORC
2/7/16,Boomerang/V-Shaped ,Dewey ,AZ ,USA ,NUFORC
1/29/16,Boomerang/V-Shaped ,Lafayette ,LA ,USA ,NUFORC
1/16/16,Boomerang/V-Shaped ,Bend ,OR ,USA ,NUFORC
1/13/16,Boomerang/V-Shaped ,Maumelle ,AR ,USA ,NUFORC
1/6/16,Boomerang/V-Shaped ,Arlington/Marysville ,WA ,USA ,NUFORC
1/5/16,Boomerang/V-Shaped ,Windsor Heights ,IA ,USA ,NUFORC
11/22/15,Boomerang/V-Shaped ,Salem ,OH ,USA ,MUFON
7/4/15,Boomerang/V-Shaped ,Inman ,SC ,USA ,NUFORC
3/17/15,Boomerang/V-Shaped ,Grayslake ,IL ,USA ,NUFORC
1/7/12,Boomerang/V-Shaped ,Waianae ,HI ,USA ,MUFON
3/13/97,Boomerang/V-Shaped ,Peoria ,AZ ,USA ,NUFORC
3/13/97,Boomerang/V-Shaped ,Tucson ,AZ ,USA ,NUFORC
6/30/94,Boomerang/V-Shaped ,Prestonsburg ,KY ,USA ,NUFORC
6/15/16,Boomerang/V-Shaped ,Ingersoll ,ON ,Canada ,NUFORC
5/1/16,Boomerang/V-Shaped ,Gimli (Canada) ,MB ,Canada ,NUFORC
1/27/16,Boomerang/V-Shaped ,Mumbai ,,India ,NUFORC
10/10/14,Boomerang/V-Shaped ,Asker ,,Norway ,NUFORC
7/19/16,Cigar/Cylinder ,Phoenix ,AZ ,USA ,NUFORC
7/18/16,Cigar/Cylinder ,Mytle Beach ,SC ,USA ,NUFORC
7/18/16,Cigar/Cylinder ,Ash ,NC ,USA ,NUFORC
7/17/16,Cigar/Cylinder ,Huntingdon ,PA ,USA ,NUFORC
7/15/16,Cigar/Cylinder ,Tulare ,CA ,USA ,NUFORC
7/14/16,Cigar/Cylinder ,Burlington ,NJ ,USA ,NUFORC
7/9/16,Cigar/Cylinder ,Wilmington ,OH ,USA ,NUFORC
7/9/16,Cigar/Cylinder ,Oldsmar ,FL ,USA ,NUFORC
7/9/16,Cigar/Cylinder ,Saint Augustine ,FL ,USA ,NUFORC
7/4/16,Cigar/Cylinder ,Fort Wayne ,IN ,USA ,NUFORC
7/4/16,Cigar/Cylinder ,Fort Wayne ,IN ,USA ,NUFORC
7/4/16,Cigar/Cylinder ,Pueblo ,CO ,USA ,NUFORC
7/4/16,Cigar/Cylinder ,Joliet ,IL ,USA ,NUFORC
7/4/16,Cigar/Cylinder ,Lena ,MS ,USA ,NUFORC
7/4/16,Cigar/Cylinder ,Orlando ,FL ,USA ,NUFORC
6/30/16,Cigar/Cylinder ,Belleville ,NY ,USA ,NUFORC
6/30/16,Cigar/Cylinder ,Shavertown ,PA ,USA ,NUFORC
6/29/16,Cigar/Cylinder ,Bainbridge Island ,WA ,USA ,NUFORC
6/29/16,Cigar/Cylinder ,Dudley ,MA ,USA ,NUFORC
6/27/16,Cigar/Cylinder ,Bow ,WA ,USA ,NUFORC
6/26/16,Cigar/Cylinder ,Aldie ,VA ,USA ,NUFORC
6/25/16,Cigar/Cylinder ,Cranston ,RI ,USA ,NUFORC
6/25/16,Cigar/Cylinder ,Yerington ,NV ,USA ,NUFORC
6/24/16,Cigar/Cylinder ,Novelty ,OH ,USA ,NUFORC
6/24/16,Cigar/Cylinder ,Portland ,ME ,USA ,NUFORC
6/23/16,Cigar/Cylinder ,Minneapolis ,MN ,USA ,NUFORC
6/22/16,Cigar/Cylinder ,Webster ,MA ,USA ,NUFORC
6/19/16,Cigar/Cylinder ,Green Valley ,AZ ,USA ,NUFORC
6/17/16,Cigar/Cylinder ,Bridgewater ,NJ ,USA ,NUFORC
6/14/16,Cigar/Cylinder ,Richmond ,KY ,USA ,NUFORC
6/11/16,Cigar/Cylinder ,Lafayette ,LA ,USA ,NUFORC
6/9/16,Cigar/Cylinder ,Little River ,SC ,USA ,NUFORC
6/6/16,Cigar/Cylinder ,Gold Bar ,WA ,USA ,NUFORC
6/6/16,Cigar/Cylinder ,Cedarcreek ,MO ,USA ,NUFORC
6/3/16,Cigar/Cylinder ,Wittmann ,AZ ,USA ,NUFORC
5/26/16,Cigar/Cylinder ,San Francisco ,CA ,USA ,NUFORC
5/25/16,Cigar/Cylinder ,Boise ,ID ,USA ,NUFORC
5/25/16,Cigar/Cylinder ,Moriarty ,NM ,USA ,NUFORC
5/24/16,Cigar/Cylinder ,Geneva ,OH ,USA ,NUFORC
5/24/16,Cigar/Cylinder ,Carlsbad ,CA ,USA ,NUFORC
5/15/16,Cigar/Cylinder ,LaGrange ,GA ,USA ,NUFORC
5/15/16,Cigar/Cylinder ,Decatur ,AL ,USA ,NUFORC
5/11/16,Cigar/Cylinder ,Gulf of Mexico ,FL ,USA ,NUFORC
5/10/16,Cigar/Cylinder ,West Palm Beach ,FL ,USA ,NUFORC
5/5/16,Cigar/Cylinder ,Shelbyville ,IL ,USA ,NUFORC
5/3/16,Cigar/Cylinder ,Stone Mountain ,GA ,USA ,NUFORC
5/3/16,Cigar/Cylinder ,Tooele ,UT ,USA ,NUFORC
5/1/16,Cigar/Cylinder ,Ponte Vedra Beach ,FL ,USA ,NUFORC
4/23/16,Cigar/Cylinder ,Austin ,TX ,USA ,NUFORC
4/21/16,Cigar/Cylinder ,Albany ,NY ,USA ,NUFORC
4/20/16,Cigar/Cylinder ,Richfield ,WI ,USA ,NUFORC
4/17/16,Cigar/Cylinder ,E. Parsonsfield ,ME ,USA ,NUFORC
4/16/16,Cigar/Cylinder ,Reading ,PA ,USA ,NUFORC
4/16/16,Cigar/Cylinder ,Pataskala ,OH ,USA ,NUFORC
4/12/16,Cigar/Cylinder ,Nelson ,AZ ,USA ,NUFORC
4/11/16,Cigar/Cylinder ,Layton ,UT ,USA ,NUFORC
4/9/16,Cigar/Cylinder ,Ogden ,UT ,USA ,NUFORC
4/8/16,Cigar/Cylinder ,Red Cross ,NC ,USA ,NUFORC
4/6/16,Cigar/Cylinder ,Warren ,NJ ,USA ,NUFORC
3/31/16,Cigar/Cylinder ,San Diego ,CA ,USA ,NUFORC
3/28/16,Cigar/Cylinder ,North Myrtle Beach ,SC ,USA ,NUFORC
3/27/16,Cigar/Cylinder ,Epping ,NH ,USA ,NUFORC
3/20/16,Cigar/Cylinder ,Denver ,CO ,USA ,NUFORC
3/16/16,Cigar/Cylinder ,Mount Shasta ,CA ,USA ,NUFORC
3/14/16,Cigar/Cylinder ,Orlando ,FL ,USA ,NUFORC
3/10/16,Cigar/Cylinder ,Port Saint Lucie ,FL ,USA ,NUFORC
3/9/16,Cigar/Cylinder ,Jacksonville Beach ,FL ,USA ,NUFORC
